,Unnamed: 0,t,m,j,u,Price
54,54,2019,SAINT-LOUIS,"Other oils n.e.c. (corn oil, palm kernel oil, etc.)",Quart De Litre,
55,55,2019,SAINT-LOUIS,Other dried vegetables n.e.c.,Morceau,
56,56,2019,SAINT-LOUIS,Other dried vegetables n.e.c.,Sachet,100.0
57,57,2019,SAINT-LOUIS,"Other fresh fish (dorade, youfoufe, red mullet, sikette, etc.)",Kg,708.3333333
58,58,2019,SAINT-LOUIS,"Other fresh fish (dorade, youfoufe, red mullet, sikette, etc.)",Morceau,1000.0
59,59,2019,SAINT-LOUIS,"Other fresh fish (dorade, youfoufe, red mullet, sikette, etc.)",Tas,725.0
60,60,2019,SAINT-LOUIS,"Other fresh fish (dorade, youfoufe, red mullet, sikette, etc.)",Unit,333.3333333
61,61,2019,SAINT-LOUIS,"Other smoked fish (smoked kong, smoked yaboy/obo)",Kg,1900.0
62,62,2019,SAINT-LOUIS,"Other smoked fish (smoked kong, smoked yaboy/obo)",Tas,250.0
63,63,2019,SAINT-LOUIS,"Other smoked fish (smoked kong, smoked yaboy/obo)",Unit,200.0
64,64,2019,SAINT-LOUIS,Other food products,Boule (Dankk),
65,65,2019,SAINT-LOUIS,Other food products,Kg,25.0
66,66,2019,SAINT-LOUIS,Other food products,Sachet,
67,67,2019,SAINT-LOUIS,"Other herbal teas/infusions (quinquelibat, lemongrass, etc.)",Bouteille de 1L,
68,68,2019,SAINT-LOUIS,"Other herbal teas/infusions (quinquelibat, lemongrass, etc.)",Bouteilles,
69,69,2019,SAINT-LOUIS,"Other herbal teas/infusions (quinquelibat, lemongrass, etc.)",Paquet,100.0
70,70,2019,SAINT-LOUIS,"Other herbal teas/infusions (quinquelibat, lemongrass, etc.)",Pot,
71,71,2019,SAINT-LOUIS,"Other herbal teas/infusions (quinquelibat, lemongrass, etc.)",Sachet,100.0
72,72,2019,SAINT-LOUIS,"Other herbal teas/infusions (quinquelibat, lemongrass, etc.)",Teacup,100.0
73,73,2019,SAINT-LOUIS,"Other herbal teas/infusions (quinquelibat, lemongrass, etc.)",Verre,
74,74,2019,SAINT-LOUIS,Other tubers n.e.c.,Kg,
75,75,2019,SAINT-LOUIS,Other tubers n.e.c.,Morceau,
76,76,2019,SAINT-LOUIS,Other tubers n.e.c.,Unit,
77,77,2019,SAINT-LOUIS,Sweet banana,Kg,800.0
78,78,2019,SAINT-LOUIS,Sweet banana,Régime,
79,79,2019,SAINT-LOUIS,Sweet banana,Tas,600.0
80,80,2019,SAINT-LOUIS,Sweet banana,Unit,100.0
81,81,2019,SAINT-LOUIS,"Fritters, flatbreads",Sachet,100.0
82,82,2019,SAINT-LOUIS,"Fritters, flatbreads",Unit,25.0
83,83,2019,SAINT-LOUIS,Butter,Demi Tablette,500.0
84,84,2019,SAINT-LOUIS,Butter,Morceau,50.0
85,85,2019,SAINT-LOUIS,Butter,Pot,800.0
86,86,2019,SAINT-LOUIS,Butter,Sachet,50.0
87,87,2019,SAINT-LOUIS,Butter,Seau,1000.0
88,88,2019,SAINT-LOUIS,Butter,Tablespoon,725.0
89,89,2019,SAINT-LOUIS,Butter,Tablette,600.0
90,90,2019,SAINT-LOUIS,Butter,Teaspoon,625.0
91,91,2019,SAINT-LOUIS,Cookies/biscuits,Paquet,100.0
92,92,2019,SAINT-LOUIS,Cookies/biscuits,Sachet,50.0
93,93,2019,SAINT-LOUIS,"Traditional beers/wines (soum soum, sung, palm wine, etc.)",Bouteilles,
94,94,2019,SAINT-LOUIS,Industrial beers,Canette,
95,95,2019,SAINT-LOUIS,Wheat,Kg,300.0
96,96,2019,SAINT-LOUIS,"Soft drinks (Coke, etc.)","Bouteille de 1,5 L",700.0
97,97,2019,SAINT-LOUIS,"Soft drinks (Coke, etc.)",Bouteille de 1L,600.0
98,98,2019,SAINT-LOUIS,"Soft drinks (Coke, etc.)",Bouteille de 25cl,250.0
99,99,2019,SAINT-LOUIS,"Soft drinks (Coke, etc.)",Bouteille de 50 cl,275.0
100,100,2019,SAINT-LOUIS,"Soft drinks (Coke, etc.)",Canette,
101,101,2019,SAINT-LOUIS,Coffee,Boîte,675.0
102,102,2019,SAINT-LOUIS,Coffee,Kg,2000.0
103,103,2019,SAINT-LOUIS,Coffee,Sachet,100.0
104,104,2019,SAINT-LOUIS,Coffee,Teacup,500.0
105,105,2019,SAINT-LOUIS,Coffee,Teaspoon,2000.0
106,106,2019,SAINT-LOUIS,"Caramel, candy, sweets, etc.",Sachet,
107,107,2019,SAINT-LOUIS,"Caramel, candy, sweets, etc.",Unit,50.0
108,108,2019,SAINT-LOUIS,Carrot,Kg,400.0
109,109,2019,SAINT-LOUIS,Carrot,Morceau,100.0
110,110,2019,SAINT-LOUIS,Carrot,Tas,100.0
111,111,2019,SAINT-LOUIS,Carrot,Tranche,
112,112,2019,SAINT-LOUIS,Carrot,Unit,100.0
113,113,2019,SAINT-LOUIS,"Cold cuts (ham, sausage), canned meats",Boîte,900.0
114,114,2019,SAINT-LOUIS,"Cold cuts (ham, sausage), canned meats",Sachet,500.0
115,115,2019,SAINT-LOUIS,Cocoa powder,Pot,500.0
116,116,2019,SAINT-LOUIS,Cocoa powder,Sachet,50.0
117,117,2019,SAINT-LOUIS,Cocoa powder,Tablespoon,700.0
118,118,2019,SAINT-LOUIS,Cocoa powder,Teaspoon,575.0
119,119,2019,SAINT-LOUIS,Chocolate bars/spreads,Pot,1100.0
120,120,2019,SAINT-LOUIS,Chocolate bars/spreads,Sachet,25.0
121,121,2019,SAINT-LOUIS,Chocolate bars/spreads,Seau,
122,122,2019,SAINT-LOUIS,Chocolate bars/spreads,Tablespoon,50.0
123,123,2019,SAINT-LOUIS,Cabbage,Kg,500.0
124,124,2019,SAINT-LOUIS,Cabbage,Morceau,100.0
125,125,2019,SAINT-LOUIS,Cabbage,Tas,750.0
126,126,2019,SAINT-LOUIS,Cabbage,Unit,150.0
127,127,2019,SAINT-LOUIS,Lemons,Bol,
128,128,2019,SAINT-LOUIS,Lemons,Kg,800.0
129,129,2019,SAINT-LOUIS,Lemons,Sachet,100.0
130,130,2019,SAINT-LOUIS,Lemons,Tas,50.0
131,131,2019,SAINT-LOUIS,Lemons,Unit,50.0
132,132,2019,SAINT-LOUIS,Tomato paste,Boite De Tomate/Pot,600.0
133,133,2019,SAINT-LOUIS,Tomato paste,Kg,1400.0
134,134,2019,SAINT-LOUIS,Tomato paste,Sachet,100.0
135,135,2019,SAINT-LOUIS,Tomato paste,Tablespoon,250.0
136,136,2019,SAINT-LOUIS,Cucumber,Kg,400.0
137,137,2019,SAINT-LOUIS,Cucumber,Morceau,
138,138,2019,SAINT-LOUIS,Cucumber,Tas,100.0
139,139,2019,SAINT-LOUIS,Cucumber,Unit,150.0
140,140,2019,SAINT-LOUIS,Canned fish,Boîte,550.0
141,141,2019,SAINT-LOUIS,"Crabs, shrimp, and other seafood",Kg,1000.0
142,142,2019,SAINT-LOUIS,"Crabs, shrimp, and other seafood",Tas,500.0
143,143,2019,SAINT-LOUIS,"Crabs, shrimp, and other seafood",Unit,
144,144,2019,SAINT-LOUIS,Croissants,Kg,300.0
145,145,2019,SAINT-LOUIS,Croissants,Unit,
146,146,2019,SAINT-LOUIS,"Bouillon cubes (Maggi, Jumbo, etc.)",Cube,25.0
147,147,2019,SAINT-LOUIS,"Bouillon cubes (Maggi, Jumbo, etc.)",Sachet,25.0
148,148,2019,SAINT-LOUIS,"Bouillon cubes (Maggi, Jumbo, etc.)",Tablette,
149,149,2019,SAINT-LOUIS,Dates,Barquette,700.0
150,150,2019,SAINT-LOUIS,Dates,Kg,1000.0
151,151,2019,SAINT-LOUIS,Dates,Sachet,100.0
152,152,2019,SAINT-LOUIS,Dates,Tas,
153,153,2019,SAINT-LOUIS,Mineral/filtered water,"Bouteille de 1,5 L",250.0
154,154,2019,SAINT-LOUIS,Mineral/filtered water,Bouteille de 10L,1100.0
155,155,2019,SAINT-LOUIS,Mineral/filtered water,Bouteille de 5L,1000.0
156,156,2019,SAINT-LOUIS,Mineral/filtered water,Sachet,
157,157,2019,SAINT-LOUIS,Local or imported wheat flour,Kg,400.0
158,158,2019,SAINT-LOUIS,Local or imported wheat flour,Sachet,100.0
159,159,2019,SAINT-LOUIS,Corn flour,Boite De Tomate/Pot,
160,160,2019,SAINT-LOUIS,Corn flour,Kg,600.0
161,161,2019,SAINT-LOUIS,Corn flour,Paquet,
162,162,2019,SAINT-LOUIS,Millet flour,Boite De Tomate/Pot,150.0
163,163,2019,SAINT-LOUIS,Millet flour,Kg,350.0
164,164,2019,SAINT-LOUIS,Millet flour,Sachet,
165,165,2019,SAINT-LOUIS,Sorrel leaves (bissap),Boite De Tomate/Pot,500.0
166,166,2019,SAINT-LOUIS,Sorrel leaves (bissap),Bol,
167,167,2019,SAINT-LOUIS,Sorrel leaves (bissap),Kg,625.0
168,168,2019,SAINT-LOUIS,Sorrel leaves (bissap),Tas,50.0
169,169,2019,SAINT-LOUIS,Baobab leaves (lalo),Boite De Tomate/Pot,
170,170,2019,SAINT-LOUIS,Baobab leaves (lalo),Louche Traditionnelle,
171,171,2019,SAINT-LOUIS,Baobab leaves (lalo),Sachet,50.0
172,172,2019,SAINT-LOUIS,Bean/cowpea leaves,Boite De Tomate/Pot,300.0
173,173,2019,SAINT-LOUIS,Bean/cowpea leaves,Sachet,100.0
174,174,2019,SAINT-LOUIS,Bean/cowpea leaves,Tas,100.0
175,175,2019,SAINT-LOUIS,"Cassava leaves, taro leaves, and other greens",Tas,200.0
176,176,2019,SAINT-LOUIS,Moringa leaves,Tas,
177,177,2019,SAINT-LOUIS,Fonio,Kg,
178,178,2019,SAINT-LOUIS,Cheese,Boîte,1600.0
179,179,2019,SAINT-LOUIS,Cheese,Morceau,50.0
180,180,2019,SAINT-LOUIS,Cheese,Unit,100.0
181,181,2019,SAINT-LOUIS,Ginger,Kg,1200.0
182,182,2019,SAINT-LOUIS,Ginger,Sachet,100.0
183,183,2019,SAINT-LOUIS,Ginger,Tas,100.0
184,184,2019,SAINT-LOUIS,Fresh okra,Kg,600.0
185,185,2019,SAINT-LOUIS,Fresh okra,Sachet,
186,186,2019,SAINT-LOUIS,Fresh okra,Tas,50.0
187,187,2019,SAINT-LOUIS,Fresh okra,Unit,75.0
188,188,2019,SAINT-LOUIS,Dried okra,Cup/Goblet,
189,189,2019,SAINT-LOUIS,Dried okra,Kg,
190,190,2019,SAINT-LOUIS,Dried okra,Sachet,50.0
191,191,2019,SAINT-LOUIS,Cakes,Sachet,500.0
192,192,2019,SAINT-LOUIS,Cakes,Unit,
193,193,2019,SAINT-LOUIS,Green beans,Kg,450.0
194,194,2019,SAINT-LOUIS,Green beans,Sachet,100.0
195,195,2019,SAINT-LOUIS,Green beans,Tas,100.0
196,196,2019,SAINT-LOUIS,Refined peanut oil,Boite De Tomate/Pot,
197,197,2019,SAINT-LOUIS,Refined peanut oil,Litre,6000.0
198,198,2019,SAINT-LOUIS,Refined peanut oil,Quart De Litre,
199,199,2019,SAINT-LOUIS,"Traditional peanut oil (""ségal"")",Bouteilles,
200,200,2019,SAINT-LOUIS,"Traditional peanut oil (""ségal"")",Litre,
201,201,2019,SAINT-LOUIS,"Traditional peanut oil (""ségal"")",Quart De Litre,
202,202,2019,SAINT-LOUIS,Refined palm oil,Demi Litre,
203,203,2019,SAINT-LOUIS,Refined palm oil,Litre,900.0
204,204,2019,SAINT-LOUIS,Refined palm oil,Quart De Litre,
205,205,2019,SAINT-LOUIS,Red palm oil,"12,5cl(Demi Walatt)",300.0
206,206,2019,SAINT-LOUIS,Red palm oil,Bouteille de 1 Litre,1500.0
207,207,2019,SAINT-LOUIS,Red palm oil,Demi Litre,900.0
208,208,2019,SAINT-LOUIS,Red palm oil,Litre,1500.0
209,209,2019,SAINT-LOUIS,Red palm oil,Quart De Litre,400.0
210,210,2019,SAINT-LOUIS,"Soybean/vegetable oil (Ninaal, Jaara, etc.)",Boite De Tomate/Pot,
211,211,2019,SAINT-LOUIS,"Soybean/vegetable oil (Ninaal, Jaara, etc.)",Bouteille de 1 Litre,825.0
212,212,2019,SAINT-LOUIS,"Soybean/vegetable oil (Ninaal, Jaara, etc.)",Bouteille de 25cl,300.0
213,213,2019,SAINT-LOUIS,"Soybean/vegetable oil (Ninaal, Jaara, etc.)",Bouteille de 5 Litres,4000.0
214,214,2019,SAINT-LOUIS,"Soybean/vegetable oil (Ninaal, Jaara, etc.)",Demi Litre,450.0
215,215,2019,SAINT-LOUIS,"Soybean/vegetable oil (Ninaal, Jaara, etc.)",Litre,900.0
216,216,2019,SAINT-LOUIS,"Soybean/vegetable oil (Ninaal, Jaara, etc.)",Quart De Litre,250.0
217,217,2019,SAINT-LOUIS,"Soybean/vegetable oil (Ninaal, Jaara, etc.)",Sachet,300.0
218,218,2019,SAINT-LOUIS,Yam,Kg,1000.0
219,219,2019,SAINT-LOUIS,Yam,Morceau,50.0
220,220,2019,SAINT-LOUIS,Yam,Unit,
221,221,2019,SAINT-LOUIS,"Fruit juices (orange, bissap, ginger, cashew, etc.)",Bouteille de 1L,1000.0
222,222,2019,SAINT-LOUIS,"Fruit juices (orange, bissap, ginger, cashew, etc.)",Bouteille de 25cl,
223,223,2019,SAINT-LOUIS,"Fruit juices (orange, bissap, ginger, cashew, etc.)",Bouteille de 33cl,
224,224,2019,SAINT-LOUIS,"Fruit juices (orange, bissap, ginger, cashew, etc.)",Brique Carton,1000.0
225,225,2019,SAINT-LOUIS,"Fruit juices (orange, bissap, ginger, cashew, etc.)",Canette,
226,226,2019,SAINT-LOUIS,"Fruit juices (orange, bissap, ginger, cashew, etc.)",Litre,375.0
227,227,2019,SAINT-LOUIS,"Fruit juices (orange, bissap, ginger, cashew, etc.)",Sachet,100.0
228,228,2019,SAINT-LOUIS,Powdered juice,Sachet,100.0
229,229,2019,SAINT-LOUIS,"Curdled milk, yogurt",Boite De Tomate/Pot,500.0
230,230,2019,SAINT-LOUIS,"Curdled milk, yogurt",Bouteille de 1 Litre,600.0
231,231,2019,SAINT-LOUIS,"Curdled milk, yogurt","Bouteille de 1,5 L",
232,232,2019,SAINT-LOUIS,"Curdled milk, yogurt",Cup/Goblet,50.0
233,233,2019,SAINT-LOUIS,"Curdled milk, yogurt",Litre,450.0
234,234,2019,SAINT-LOUIS,"Curdled milk, yogurt",Louche Traditionnelle,37.5
235,235,2019,SAINT-LOUIS,"Curdled milk, yogurt",Sachet,200.0
236,236,2019,SAINT-LOUIS,"Curdled milk, yogurt",Seau,1250.0
237,237,2019,SAINT-LOUIS,Unsweetened condensed milk,Bouteilles,350.0
238,238,2019,SAINT-LOUIS,Unsweetened condensed milk,Boîte,300.0
239,239,2019,SAINT-LOUIS,Sweetened condensed milk,Boîte,1000.0
240,240,2019,SAINT-LOUIS,Powdered milk,Kg,2400.0
241,241,2019,SAINT-LOUIS,Powdered milk,Paquet,1300.0
242,242,2019,SAINT-LOUIS,Powdered milk,Sachet,100.0
243,243,2019,SAINT-LOUIS,Powdered milk,Teaspoon,1500.0
244,244,2019,SAINT-LOUIS,Baby milk and cereals,Boîte,2350.0
245,245,2019,SAINT-LOUIS,Baby milk and cereals,Paquet,250.0
246,246,2019,SAINT-LOUIS,Baby milk and cereals,Sachet,350.0
247,247,2019,SAINT-LOUIS,Fresh milk,Boite De Tomate/Pot,300.0
248,248,2019,SAINT-LOUIS,Fresh milk,Bouteilles,1000.0
249,249,2019,SAINT-LOUIS,Fresh milk,Litre,833.3333333
250,250,2019,SAINT-LOUIS,Fresh milk,Louche Traditionnelle,150.0
251,251,2019,SAINT-LOUIS,Fresh milk,Quart De Litre,600.0
252,252,2019,SAINT-LOUIS,Fresh milk,Sachet,100.0
253,253,2019,SAINT-LOUIS,Fresh milk,Seau,500.0
254,254,2019,SAINT-LOUIS,Mango,Kg,500.0
255,255,2019,SAINT-LOUIS,Mango,Sachet,350.0
256,256,2019,SAINT-LOUIS,Mango,Seau,1500.0
257,257,2019,SAINT-LOUIS,Mango,Unit,125.0
258,258,2019,SAINT-LOUIS,Cassava,Kg,500.0
259,259,2019,SAINT-LOUIS,Cassava,Morceau,50.0
260,260,2019,SAINT-LOUIS,Cassava,Tas,250.0
261,261,2019,SAINT-LOUIS,Cassava,Unit,100.0
262,262,2019,SAINT-LOUIS,Mayonnaise,Pot,1000.0
263,263,2019,SAINT-LOUIS,Mayonnaise,Sachet,100.0
264,264,2019,SAINT-LOUIS,Mayonnaise,Seau,1000.0
265,265,2019,SAINT-LOUIS,Mayonnaise,Tablespoon,900.0
266,266,2019,SAINT-LOUIS,Mayonnaise,Teaspoon,1000.0
267,267,2019,SAINT-LOUIS,Maize (grain),Boite De Tomate/Pot,
268,268,2019,SAINT-LOUIS,Maize (grain),Kg,600.0
269,269,2019,SAINT-LOUIS,Corn on the cob,Tas,
270,270,2019,SAINT-LOUIS,Corn on the cob,Unit,
271,271,2019,SAINT-LOUIS,Honey,Bouteille de 1 Litre,
272,272,2019,SAINT-LOUIS,Honey,Bouteilles,
273,273,2019,SAINT-LOUIS,Honey,Kg,
274,274,2019,SAINT-LOUIS,Honey,Litre,
275,275,2019,SAINT-LOUIS,Honey,Tablespoon,2000.0
276,276,2019,SAINT-LOUIS,Millet,Boite De Tomate/Pot,600.0
277,277,2019,SAINT-LOUIS,Millet,Kg,300.0
278,278,2019,SAINT-LOUIS,Millet,Sachet,250.0
279,279,2019,SAINT-LOUIS,Dried cowpeas/beans,Boite De Tomate/Pot,350.0
280,280,2019,SAINT-LOUIS,Dried cowpeas/beans,Boîte,
281,281,2019,SAINT-LOUIS,Dried cowpeas/beans,Cup/Goblet,800.0
282,282,2019,SAINT-LOUIS,Dried cowpeas/beans,Kg,600.0
283,283,2019,SAINT-LOUIS,Dried cowpeas/beans,Sachet,100.0
284,284,2019,SAINT-LOUIS,Dried cowpeas/beans,Teacup,100.0
285,285,2019,SAINT-LOUIS,Coconut,Unit,
286,286,2019,SAINT-LOUIS,Kola nuts,Sachet,
287,287,2019,SAINT-LOUIS,Kola nuts,Unit,50.0
288,288,2019,SAINT-LOUIS,Eggs,Demi Tablette,1175.0
289,289,2019,SAINT-LOUIS,Eggs,Tablette (30),1675.0
290,290,2019,SAINT-LOUIS,Eggs,Tas,
291,291,2019,SAINT-LOUIS,Eggs,Unit,100.0
292,292,2019,SAINT-LOUIS,Fresh onion,Filet (5 Kg),500.0
293,293,2019,SAINT-LOUIS,Fresh onion,Kg,250.0
294,294,2019,SAINT-LOUIS,Fresh onion,Morceau,
295,295,2019,SAINT-LOUIS,Fresh onion,Sac (25 Kg),
296,296,2019,SAINT-LOUIS,Fresh onion,Sachet,100.0
297,297,2019,SAINT-LOUIS,Fresh onion,Tas,75.0
298,298,2019,SAINT-LOUIS,Fresh onion,Unit,50.0
299,299,2019,SAINT-LOUIS,Orange,Kg,800.0
300,300,2019,SAINT-LOUIS,Orange,Sachet,1000.0
301,301,2019,SAINT-LOUIS,Orange,Tas,
302,302,2019,SAINT-LOUIS,Orange,Unit,
303,303,2019,SAINT-LOUIS,Modern bread,Demi-Miche,
304,304,2019,SAINT-LOUIS,Modern bread,Miche,175.0
305,305,2019,SAINT-LOUIS,Modern bread,Sachet,500.0
306,306,2019,SAINT-LOUIS,Modern bread,Tiers de Miche,75.0
307,307,2019,SAINT-LOUIS,Traditional bread,Demi-Miche,100.0
308,308,2019,SAINT-LOUIS,Traditional bread,Miche,100.0
309,309,2019,SAINT-LOUIS,Traditional bread,Sachet,
310,310,2019,SAINT-LOUIS,Traditional bread,Tiers de Miche,100.0
311,311,2019,SAINT-LOUIS,"Watermelon, melon",Kg,700.0
312,312,2019,SAINT-LOUIS,"Watermelon, melon",Tas,500.0
313,313,2019,SAINT-LOUIS,"Watermelon, melon",Tranche,
314,314,2019,SAINT-LOUIS,"Watermelon, melon",Unit,675.0
315,315,2019,SAINT-LOUIS,Sweet potato,Bassine,1500.0
316,316,2019,SAINT-LOUIS,Sweet potato,Kg,300.0
317,317,2019,SAINT-LOUIS,Sweet potato,Morceau,50.0
318,318,2019,SAINT-LOUIS,Sweet potato,Seau,500.0
319,319,2019,SAINT-LOUIS,Sweet potato,Tas,100.0
320,320,2019,SAINT-LOUIS,Sweet potato,Unit,100.0
321,321,2019,SAINT-LOUIS,Dried peas,Kg,800.0
322,322,2019,SAINT-LOUIS,Canned peas,Boite De Tomate/Pot,
323,323,2019,SAINT-LOUIS,Canned peas,Boîte,500.0
324,324,2019,SAINT-LOUIS,Canned peas,Sachet,
325,325,2019,SAINT-LOUIS,Chili pepper,Boite De Tomate/Pot,
326,326,2019,SAINT-LOUIS,Chili pepper,Kg,2000.0
327,327,2019,SAINT-LOUIS,Chili pepper,Sachet,25.0
328,328,2019,SAINT-LOUIS,Chili pepper,Tas,50.0
329,329,2019,SAINT-LOUIS,Chili pepper,Unit,25.0
330,330,2019,SAINT-LOUIS,Plantain,Unit,
331,331,2019,SAINT-LOUIS,"Fresh fish (thiof/seudd, barracuda)",Kg,1500.0
332,332,2019,SAINT-LOUIS,"Fresh fish (thiof/seudd, barracuda)",Morceau,1000.0
333,333,2019,SAINT-LOUIS,"Fresh fish (thiof/seudd, barracuda)",Tas,500.0
334,334,2019,SAINT-LOUIS,"Fresh fish (thiof/seudd, barracuda)",Unit,1000.0
335,335,2019,SAINT-LOUIS,Fresh fish (wass),Kg,1500.0
336,336,2019,SAINT-LOUIS,Fresh fish (wass),Tas,1000.0
337,337,2019,SAINT-LOUIS,Fresh fish (wass),Unit,458.3333333
338,338,2019,SAINT-LOUIS,Fresh sardine (yaboy or obo),Tas,500.0
339,339,2019,SAINT-LOUIS,Fresh sardine (yaboy or obo),Unit,200.0
340,340,2019,SAINT-LOUIS,Smoked sardine (kétiakh),Cornet,100.0
341,341,2019,SAINT-LOUIS,Smoked sardine (kétiakh),Kg,800.0
342,342,2019,SAINT-LOUIS,Smoked sardine (kétiakh),Sachet,100.0
343,343,2019,SAINT-LOUIS,Smoked sardine (kétiakh),Tas,250.0
344,344,2019,SAINT-LOUIS,Smoked sardine (kétiakh),Unit,112.5
345,345,2019,SAINT-LOUIS,"Dried fish (tambadiang, kong, etc.)",Kg,1100.0
346,346,2019,SAINT-LOUIS,"Dried fish (tambadiang, kong, etc.)",Morceau,50.0
347,347,2019,SAINT-LOUIS,"Dried fish (tambadiang, kong, etc.)",Tas,500.0
348,348,2019,SAINT-LOUIS,"Dried fish (tambadiang, kong, etc.)",Unit,150.0
349,349,2019,SAINT-LOUIS,Fresh bell pepper,Kg,500.0
350,350,2019,SAINT-LOUIS,Fresh bell pepper,Tas,100.0
351,351,2019,SAINT-LOUIS,Fresh bell pepper,Tranche,25.0
352,352,2019,SAINT-LOUIS,Fresh bell pepper,Unit,50.0
353,353,2019,SAINT-LOUIS,Potato,Kg,400.0
354,354,2019,SAINT-LOUIS,Potato,Tas,100.0
355,355,2019,SAINT-LOUIS,Potato,Unit,
356,356,2019,SAINT-LOUIS,Live chicken,Unit,3000.0
357,357,2019,SAINT-LOUIS,Peanut paste,Kg,900.0
358,358,2019,SAINT-LOUIS,Peanut paste,Sachet,175.0
359,359,2019,SAINT-LOUIS,Peanut paste,Tablespoon,
