i,t,m,women,girls,boys,men,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
129711,2018,thies,1,2,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1.386294361
129712,2018,thies,1,5,0,2,0,1,0,1,0,1,0,2,1,0,0,0,1,1,2.079441542
12972,2018,thies,1,2,1,3,0,0,0,0,0,1,1,1,2,0,0,1,1,0,1.945910149
12973,2018,thies,1,3,0,4,0,1,0,1,0,1,0,0,3,1,1,0,0,0,2.079441542
12974,2018,thies,1,2,4,1,1,0,2,0,0,1,1,1,0,0,0,1,1,0,2.079441542
12975,2018,thies,4,4,0,6,0,2,0,1,0,0,0,1,5,2,0,1,1,1,2.63905733
12976,2018,thies,1,1,4,2,1,0,0,1,2,0,1,0,0,1,1,0,1,0,2.079441542
12977,2018,thies,2,1,5,2,1,0,2,1,1,0,1,0,1,1,1,1,0,0,2.302585093
12978,2018,thies,3,3,1,2,0,0,1,0,0,2,0,1,1,2,1,1,0,0,2.197224577
12979,2018,thies,3,1,3,3,1,0,0,0,1,1,1,0,2,2,0,0,1,1,2.302585093
1298,2018,dakar,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1.098612289
1299,2018,dakar,3,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,1,1,1.609437912
12991,2018,thies,4,3,1,5,0,1,0,2,1,0,0,0,1,0,3,2,1,2,2.564949357
129910,2018,thies,4,2,4,3,3,0,0,0,0,2,1,0,0,2,2,1,1,1,2.564949357
129911,2018,thies,1,2,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1.609437912
129912,2018,thies,2,2,1,2,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1.945910149
12992,2018,thies,4,1,5,2,0,0,1,0,3,1,1,0,1,0,0,2,1,2,2.48490665
12993,2018,thies,4,3,2,4,1,1,1,2,0,0,0,1,2,2,1,0,1,1,2.564949357
12994,2018,thies,2,0,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1.386294361
12995,2018,thies,1,0,3,1,1,0,0,0,2,0,0,0,0,0,1,1,0,0,1.609437912
12996,2018,thies,2,0,1,2,0,0,1,0,0,0,0,0,2,1,0,0,0,1,1.609437912
12997,2018,thies,2,2,1,4,0,0,1,0,0,1,1,1,2,1,1,1,0,0,2.197224577
12998,2018,thies,6,2,5,1,0,1,2,1,2,0,1,0,1,5,0,0,0,1,2.63905733
12999,2018,thies,7,8,6,8,2,0,2,4,2,4,1,0,3,3,1,4,3,0,3.36729583
13011,2018,thies,1,0,3,3,0,0,2,0,1,0,0,0,0,0,2,1,1,0,1.945910149
130110,2018,thies,4,2,2,2,0,0,0,1,1,1,1,1,1,1,1,1,0,1,2.302585093
130111,2018,thies,2,2,2,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1.945910149
130112,2018,thies,5,1,2,0,0,0,1,0,0,0,1,1,0,4,0,1,0,0,2.079441542
13012,2018,thies,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1.386294361
13013,2018,thies,2,2,2,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1.945910149
13014,2018,thies,6,7,2,3,1,2,0,3,1,1,0,2,1,2,2,2,0,1,2.890371758
13015,2018,thies,1,0,3,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1.386294361
13016,2018,thies,4,3,5,6,2,0,2,1,0,0,2,3,4,1,0,2,1,0,2.890371758
13017,2018,thies,2,0,1,5,1,0,0,0,0,0,0,0,3,1,1,0,1,1,2.079441542
13018,2018,thies,0,4,1,3,0,0,0,0,1,2,0,2,2,0,0,0,1,0,2.079441542
13019,2018,thies,2,3,4,3,0,0,0,1,3,1,2,1,1,0,0,2,1,0,2.48490665
13031,2018,thies,1,1,0,2,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1.386294361
130310,2018,thies,2,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1.386294361
130311,2018,thies,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471806
130312,2018,thies,1,2,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1.609437912
13032,2018,thies,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.6931471806
13033,2018,thies,1,2,2,5,0,0,1,0,1,1,2,1,2,0,0,1,1,0,2.302585093
13034,2018,thies,2,6,1,1,0,1,0,1,0,2,1,2,0,1,0,1,1,0,2.302585093
13035,2018,thies,3,3,0,2,0,2,0,1,0,0,0,0,1,2,0,0,1,1,2.079441542
13036,2018,thies,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13037,2018,thies,5,1,1,3,0,0,0,0,1,0,0,2,2,1,0,1,1,2,2.302585093
13038,2018,thies,2,3,2,2,1,0,0,1,1,2,0,0,1,2,1,0,0,0,2.197224577
13039,2018,thies,1,2,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1.609437912
13051,2018,thies,2,2,2,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1.945910149
130510,2018,thies,1,1,3,5,0,1,2,0,1,0,1,0,3,0,1,1,0,0,2.302585093
130511,2018,thies,4,1,5,3,1,0,1,0,2,1,3,0,0,2,1,1,0,1,2.564949357
130512,2018,thies,3,0,1,3,1,0,0,0,0,0,0,2,2,0,0,0,1,1,1.945910149
13052,2018,thies,5,3,2,1,1,1,1,0,0,1,0,1,0,3,1,1,0,1,2.397895273
13053,2018,thies,2,2,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1.609437912
13054,2018,thies,4,0,3,2,0,0,0,0,2,0,1,1,1,1,0,1,1,1,2.197224577
13055,2018,thies,3,1,6,1,1,0,2,0,0,1,3,0,0,1,0,1,1,1,2.397895273
13056,2018,thies,4,6,2,5,1,1,0,1,0,1,2,3,2,1,1,2,1,1,2.833213344
13057,2018,thies,3,1,4,2,0,0,0,1,1,0,3,0,1,1,1,1,0,1,2.302585093
13058,2018,thies,2,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1.386294361
13059,2018,thies,2,1,1,4,1,0,0,0,0,1,0,0,1,0,3,1,0,1,2.079441542
13071,2018,thies,3,8,2,1,0,0,2,3,0,2,0,4,0,0,0,2,1,0,2.63905733
130710,2018,thies,6,4,5,5,0,1,2,1,2,0,1,2,2,3,2,2,1,1,2.995732274
130711,2018,thies,3,4,2,2,1,2,0,1,0,1,1,1,0,1,2,1,0,0,2.397895273
130712,2018,thies,1,1,4,1,2,0,1,1,1,0,0,0,0,0,1,1,0,0,1.945910149
13072,2018,thies,6,5,9,8,2,1,1,1,4,2,2,1,5,2,2,3,1,1,3.33220451
13073,2018,thies,2,2,6,4,2,0,1,1,2,1,1,0,2,1,1,1,1,0,2.63905733
13074,2018,thies,2,3,6,1,2,1,1,0,1,2,3,0,0,0,0,2,0,0,2.48490665
13075,2018,thies,4,7,3,1,0,1,0,2,1,3,2,1,0,0,1,1,0,3,2.708050201
13076,2018,thies,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13077,2018,thies,1,1,2,2,0,1,2,0,0,0,1,0,0,1,1,0,0,0,1.791759469
13078,2018,thies,2,1,3,2,1,0,1,0,1,1,0,0,0,1,2,0,0,1,2.079441542
13079,2018,thies,2,3,4,2,0,2,1,1,2,0,1,0,0,1,2,1,0,0,2.397895273
13091,2018,thies,4,5,2,2,0,1,0,0,1,1,1,3,0,2,1,1,1,1,2.564949357
130910,2018,thies,3,1,5,5,1,1,2,0,2,0,0,0,2,1,2,1,1,1,2.63905733
130911,2018,thies,2,3,2,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,2.079441542
130912,2018,thies,3,9,3,3,0,2,2,4,1,2,0,1,1,1,1,1,1,1,2.890371758
13092,2018,thies,2,1,6,1,0,0,2,0,3,0,1,1,0,0,1,1,0,1,2.302585093
13093,2018,thies,8,7,10,8,1,1,3,1,3,3,3,2,4,3,2,3,2,2,3.496507561
13094,2018,thies,8,5,9,5,2,2,2,2,3,1,2,0,2,3,2,2,1,3,3.295836866
13095,2018,thies,1,2,0,2,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1.609437912
13096,2018,thies,4,1,3,3,1,0,0,0,0,1,3,0,0,1,1,1,1,2,2.397895273
13097,2018,thies,6,4,5,4,1,1,1,0,2,3,1,1,1,0,2,3,1,2,2.944438979
13098,2018,thies,1,1,2,3,0,0,1,1,0,0,1,0,2,0,0,0,1,1,1.945910149
13099,2018,thies,2,3,4,3,0,1,3,1,1,0,0,1,1,1,2,1,0,0,2.48490665
131,2018,dakar,2,1,3,1,0,0,1,0,1,1,1,0,0,0,0,2,1,0,1.945910149
1310,2018,dakar,4,3,0,2,0,1,0,1,0,0,0,1,1,1,1,2,0,1,2.197224577
1311,2018,dakar,4,2,3,1,1,0,2,2,0,0,0,0,0,3,1,0,0,1,2.302585093
13110,2018,dakar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13111,2018,dakar,6,6,5,6,1,0,3,4,0,2,2,0,1,3,3,1,1,2,3.135494216
131110,2018,thies,2,0,4,0,0,0,0,0,2,0,2,0,0,0,0,1,0,1,1.791759469
131111,2018,thies,3,5,3,2,0,1,2,0,1,3,0,2,2,0,0,1,0,1,2.564949357
131112,2018,thies,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.6931471806
13112,2018,thies,3,5,1,3,0,1,1,0,0,4,0,1,3,0,0,1,0,1,2.48490665
13113,2018,thies,2,5,2,3,0,2,0,1,1,0,2,2,2,1,0,1,0,0,2.48490665
13114,2018,thies,3,4,4,2,2,1,2,2,0,0,0,1,0,2,2,0,0,1,2.564949357
13115,2018,thies,4,3,3,1,2,0,1,1,0,0,0,2,0,3,0,1,1,0,2.397895273
13116,2018,thies,1,4,1,1,1,0,0,3,0,1,0,0,1,0,0,1,0,0,1.945910149
13117,2018,thies,1,1,5,0,2,0,1,1,2,0,0,0,0,0,0,1,0,0,1.945910149
13118,2018,thies,1,2,4,3,1,0,1,0,1,1,1,1,2,0,1,1,0,0,2.302585093
13119,2018,thies,6,4,2,3,1,3,0,0,0,1,1,0,2,4,0,2,1,0,2.708050201
1312,2018,dakar,1,1,2,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1.609437912
1313,2018,dakar,3,0,4,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1.945910149
13131,2018,thies,1,1,3,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1.791759469
131310,2018,thies,7,1,2,5,1,1,1,0,0,0,1,1,2,3,1,2,1,1,2.708050201
131311,2018,thies,2,0,0,5,0,0,0,0,0,0,1,0,2,1,1,0,1,1,1.945910149
131312,2018,thies,1,3,1,2,0,0,0,1,1,1,0,1,2,0,0,1,0,0,1.945910149
13132,2018,thies,4,2,0,3,0,1,0,0,0,0,0,2,2,2,1,1,0,0,2.197224577
13133,2018,thies,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.6931471806
13134,2018,thies,3,4,3,4,0,1,0,1,2,1,1,1,1,1,1,2,2,0,2.63905733
13135,2018,thies,5,7,2,4,0,3,1,1,1,1,0,3,2,1,2,2,0,1,2.890371758
13136,2018,thies,3,1,0,2,0,0,0,0,0,0,0,2,1,0,0,1,1,1,1.791759469
13137,2018,thies,1,1,4,1,0,0,1,0,2,0,1,1,0,0,0,1,1,0,1.945910149
13138,2018,thies,3,1,4,1,0,0,1,1,2,0,1,0,1,1,0,1,0,1,2.197224577
13139,2018,thies,2,1,2,3,1,1,1,0,0,0,0,0,2,1,1,1,0,0,2.079441542
1314,2018,dakar,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.6931471806
1315,2018,dakar,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13151,2018,thies,7,7,6,4,1,1,1,1,1,4,3,2,1,2,1,2,2,2,3.17805383
131510,2018,thies,3,5,1,1,0,2,0,1,1,2,0,0,0,0,1,2,0,1,2.302585093
131511,2018,thies,6,3,1,3,0,1,0,1,0,1,2,1,0,2,1,1,1,2,2.564949357
131512,2018,thies,4,3,5,2,0,1,3,1,2,0,0,1,1,3,0,1,1,0,2.63905733
13152,2018,thies,4,0,2,1,0,0,1,0,1,0,0,0,1,0,0,1,0,3,1.945910149
13153,2018,thies,3,3,4,2,1,1,1,0,2,0,0,2,1,2,1,1,0,0,2.48490665
13154,2018,thies,4,2,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,2,1.945910149
13155,2018,thies,2,1,3,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1.945910149
13156,2018,thies,2,2,1,2,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1.945910149
13157,2018,thies,2,1,2,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1.791759469
13158,2018,thies,2,6,6,4,2,1,1,2,1,3,2,0,2,1,2,1,0,0,2.890371758
13159,2018,thies,3,2,0,1,0,0,0,1,0,0,0,2,0,0,1,1,0,1,1.791759469
1316,2018,dakar,2,0,1,2,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1.609437912
1317,2018,dakar,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13171,2018,thies,2,1,3,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1.945910149
131710,2018,thies,2,1,3,1,2,0,0,1,1,0,0,0,0,1,1,0,0,1,1.945910149
131711,2018,thies,1,2,3,1,1,0,1,0,0,2,1,0,0,0,0,1,1,0,1.945910149
131712,2018,thies,3,0,6,3,2,0,1,0,1,0,2,1,1,1,1,1,1,0,2.48490665
13172,2018,thies,4,4,5,6,1,3,2,1,1,0,1,0,1,3,4,0,1,1,2.944438979
13173,2018,thies,1,3,1,2,0,0,0,0,1,2,1,1,0,0,0,0,1,1,1.945910149
13174,2018,thies,2,1,4,2,0,0,1,0,1,1,2,0,1,0,0,1,1,1,2.197224577
13175,2018,thies,3,2,0,4,0,1,0,0,0,1,1,0,0,2,2,0,1,1,2.197224577
13176,2018,thies,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.6931471806
13177,2018,thies,5,7,3,0,0,2,2,1,1,2,0,2,0,1,0,3,0,1,2.708050201
13178,2018,thies,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1.098612289
13179,2018,thies,5,4,9,4,3,1,1,2,3,1,2,0,1,1,2,2,1,2,3.091042453
1318,2018,dakar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1319,2018,dakar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13191,2018,thies,2,5,6,3,0,1,1,2,3,2,2,0,1,0,0,2,2,0,2.772588722
131910,2018,thies,2,2,1,1,0,2,0,0,0,0,1,0,0,1,0,0,1,1,1.791759469
131911,2018,thies,3,3,3,2,1,1,1,2,1,0,0,0,1,2,1,1,0,0,2.397895273
131912,2018,thies,7,6,6,4,3,1,0,4,1,1,2,0,0,2,4,3,0,2,3.135494216
13192,2018,thies,2,0,3,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1.791759469
13193,2018,thies,2,1,2,2,0,1,1,0,1,0,0,0,2,0,0,1,0,1,1.945910149
13194,2018,thies,7,5,5,4,2,2,1,2,1,0,1,2,1,3,2,0,1,3,3.044522438
13195,2018,thies,4,5,1,0,0,1,1,3,0,1,0,0,0,1,0,2,0,1,2.302585093
13196,2018,thies,1,0,4,1,0,0,2,0,1,0,1,0,0,0,0,1,1,0,1.791759469
13197,2018,thies,3,2,3,1,1,0,1,2,1,0,0,0,0,1,1,1,0,1,2.197224577
13198,2018,thies,2,2,4,1,1,0,1,1,2,1,0,0,0,1,1,1,0,0,2.197224577
13199,2018,thies,2,2,1,3,0,2,0,0,1,0,0,1,0,1,2,0,1,0,2.079441542
132,2018,dakar,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1.098612289
13211,2018,thies,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1.098612289
132110,2018,thies,3,1,3,0,0,0,0,0,1,1,2,1,0,0,0,1,0,1,1.945910149
132111,2018,thies,1,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1.386294361
132112,2018,thies,2,0,2,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1.609437912
13212,2018,thies,1,2,2,3,0,0,1,0,1,0,0,2,1,0,2,1,0,0,2.079441542
13213,2018,thies,0,4,1,3,0,0,1,0,0,3,0,1,1,0,1,0,1,0,2.079441542
13214,2018,thies,3,0,6,6,0,0,1,0,3,0,2,0,2,1,3,1,1,1,2.708050201
13215,2018,thies,3,1,5,2,2,0,1,0,2,0,0,1,0,1,2,1,0,1,2.397895273
13216,2018,thies,1,0,0,3,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1.386294361
13217,2018,thies,2,0,1,3,0,0,0,0,0,0,2,1,1,0,0,1,1,0,1.791759469
13218,2018,thies,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1.098612289
13219,2018,thies,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1.386294361
13231,2018,thies,3,1,5,6,3,0,1,0,1,0,0,1,2,1,3,2,1,0,2.708050201
132310,2018,thies,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
132311,2018,thies,5,2,0,3,0,0,0,0,0,2,0,0,1,1,0,1,2,3,2.302585093
132312,2018,thies,4,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1.791759469
13232,2018,thies,4,4,4,5,1,1,1,0,1,1,1,2,3,2,1,1,1,1,2.833213344
13233,2018,thies,1,2,2,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1.791759469
13234,2018,thies,3,7,1,3,0,1,1,3,0,2,0,2,2,0,1,2,0,0,2.63905733
13235,2018,thies,5,5,3,5,1,0,2,1,0,3,0,1,1,1,4,3,0,1,2.890371758
13236,2018,thies,1,1,5,5,0,0,1,0,0,0,4,1,4,0,0,1,1,0,2.48490665
13237,2018,thies,2,3,2,1,2,1,0,2,0,0,0,0,0,2,1,0,0,0,2.079441542
13238,2018,thies,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1.098612289
13239,2018,thies,3,4,5,3,0,1,3,0,2,1,0,2,2,1,0,2,1,0,2.708050201
13251,2018,thies,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1.098612289
132510,2018,thies,7,1,9,6,2,1,3,0,1,0,3,0,3,4,3,2,0,1,3.135494216
132511,2018,thies,2,1,2,2,0,1,1,0,1,0,0,0,0,0,2,1,0,1,1.945910149
132512,2018,thies,2,2,2,4,0,0,1,0,0,1,1,1,3,1,0,1,1,0,2.302585093
13252,2018,thies,6,6,3,1,0,3,0,1,2,2,1,0,0,3,1,2,0,1,2.772588722
13253,2018,thies,2,2,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,1,1.609437912
13254,2018,thies,1,3,2,1,0,0,1,1,1,2,0,0,0,0,0,1,1,0,1.945910149
13255,2018,thies,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13256,2018,thies,6,6,2,4,1,3,1,1,0,1,0,2,1,3,3,1,0,1,2.890371758
13257,2018,thies,2,1,1,3,0,0,0,0,0,1,1,0,2,1,0,0,1,1,1.945910149
13258,2018,thies,2,0,1,3,0,0,1,0,0,0,1,0,0,0,1,2,1,0,1.791759469
13259,2018,thies,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1.386294361
13271,2018,thies,1,3,4,2,0,0,3,1,1,1,0,1,1,0,1,1,0,0,2.302585093
132710,2018,thies,0,3,0,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1.386294361
132711,2018,thies,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1.098612289
13272,2018,thies,3,2,4,4,1,1,1,0,2,0,0,1,0,0,4,3,0,0,2.564949357
13273,2018,thies,2,3,0,5,0,2,0,1,0,0,2,1,2,0,1,1,0,0,2.302585093
13274,2018,thies,2,0,0,3,0,0,0,0,0,0,0,0,2,0,0,2,1,0,1.609437912
13275,2018,thies,6,3,0,0,0,0,0,0,0,2,0,2,0,3,0,2,0,0,2.197224577
13276,2018,thies,6,2,6,2,3,1,2,0,0,1,1,0,1,1,0,3,1,2,2.772588722
13277,2018,thies,3,2,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1.945910149
13278,2018,thies,2,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1.609437912
13279,2018,thies,5,6,2,2,0,2,1,1,0,3,1,0,1,2,0,2,1,1,2.708050201
13291,2018,thies,4,1,0,1,0,0,0,0,0,0,0,1,0,3,0,0,1,1,1.791759469
132910,2018,thies,5,3,0,1,0,0,0,2,0,1,1,0,0,4,0,0,0,1,2.197224577
132911,2018,thies,2,1,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,1.386294361
132912,2018,thies,4,3,0,2,0,1,0,1,0,0,0,1,1,1,0,2,1,1,2.197224577
13292,2018,thies,3,0,2,3,1,0,1,0,0,0,0,0,0,1,3,1,0,1,2.079441542
13293,2018,thies,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1.098612289
13294,2018,thies,1,2,3,2,0,1,1,0,2,0,1,1,1,0,0,1,0,0,2.079441542
13295,2018,thies,4,3,0,2,0,1,0,2,0,0,0,0,0,3,1,0,1,1,2.197224577
13296,2018,thies,3,1,1,1,1,0,0,0,0,0,0,1,1,1,0,2,0,0,1.791759469
13297,2018,thies,5,2,2,0,1,0,0,1,1,1,0,2,0,1,0,2,0,0,2.197224577
13298,2018,thies,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.6931471806
13299,2018,thies,4,1,7,2,4,1,3,0,0,0,0,0,0,2,2,2,0,0,2.63905733
133,2018,dakar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1331,2018,dakar,1,2,2,2,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1.945910149
13310,2018,dakar,3,0,0,4,0,0,0,0,0,0,0,0,2,2,1,0,1,1,1.945910149
13311,2018,thies,7,2,5,4,2,1,1,1,2,0,0,0,1,4,3,1,0,2,2.890371758
133110,2018,thies,2,0,4,1,0,0,2,0,2,0,0,1,0,0,1,1,0,0,1.945910149
133111,2018,thies,2,3,1,0,0,2,1,0,0,0,0,1,0,1,0,0,0,1,1.791759469
133112,2018,thies,3,2,0,2,0,2,0,0,0,0,0,0,0,1,2,1,0,1,1.945910149
13312,2018,dakar,8,4,5,3,2,0,2,0,0,3,2,1,0,2,1,4,1,2,2.995732274
13313,2018,thies,5,3,2,3,0,0,0,1,0,1,2,1,1,1,1,2,1,2,2.564949357
13314,2018,thies,2,3,2,2,0,0,1,1,0,1,2,1,1,0,0,1,0,1,2.197224577
13315,2018,thies,2,2,0,3,0,0,0,1,0,1,1,0,1,0,0,2,1,0,1.945910149
13316,2018,thies,5,1,4,2,1,0,2,1,1,0,0,0,0,3,2,1,0,1,2.48490665
13317,2018,thies,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
13318,2018,thies,1,2,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1.609437912
13319,2018,thies,3,3,0,1,0,0,0,0,0,1,0,2,0,2,0,1,1,0,1.945910149
1332,2018,dakar,2,3,1,2,0,1,1,1,0,1,0,0,1,0,1,2,0,0,2.079441542
1333,2018,dakar,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1.098612289
13331,2018,thies,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1.609437912
13332,2018,thies,6,2,2,2,0,1,1,1,1,0,1,0,0,2,1,1,0,3,2.48490665
13333,2018,thies,2,2,4,3,2,0,2,1,0,0,0,1,1,1,1,1,1,0,2.397895273
13334,2018,thies,2,3,5,2,2,0,0,2,1,1,2,0,0,0,1,2,1,0,2.48490665
13335,2018,thies,5,0,2,2,1,0,0,0,1,0,1,0,0,0,1,4,0,1,2.197224577
13336,2018,thies,3,0,1,3,0,0,0,0,0,0,1,0,2,0,0,0,1,3,1.945910149
13337,2018,thies,1,3,1,2,0,0,1,0,0,1,1,2,0,0,0,1,1,0,1.945910149
1334,2018,dakar,3,4,2,2,0,2,0,2,2,0,0,0,0,1,1,2,1,0,2.397895273
1335,2018,dakar,1,0,3,1,1,0,0,0,2,0,0,0,0,0,1,1,0,0,1.609437912
13351,2018,thies,11,17,8,8,1,2,2,10,3,1,2,4,3,6,3,3,2,2,3.784189634
133510,2018,thies,1,3,2,2,0,1,1,0,0,2,1,0,1,0,1,1,0,0,2.079441542
133511,2018,thies,3,4,8,2,1,2,3,0,0,2,4,0,0,1,1,1,1,1,2.833213344
133512,2018,thies,3,2,3,2,1,0,2,0,0,2,0,1,0,0,1,1,1,1,2.302585093
13352,2018,thies,3,7,4,4,0,6,1,0,0,1,3,0,1,1,2,2,1,0,2.890371758
13353,2018,thies,1,1,2,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1.609437912
13354,2018,thies,2,5,5,0,0,0,3,3,2,1,0,1,0,1,0,1,0,0,2.48490665
13355,2018,thies,3,3,4,4,2,0,2,0,0,3,1,0,0,1,3,1,0,1,2.63905733
13356,2018,thies,4,1,2,3,0,0,2,1,0,0,0,1,2,2,1,0,0,1,2.302585093
13357,2018,thies,1,1,4,3,1,0,0,1,2,0,1,0,1,0,0,1,2,0,2.197224577
13358,2018,thies,3,2,2,4,0,1,1,0,0,0,1,1,1,1,2,1,1,1,2.397895273
13359,2018,thies,8,4,1,3,1,0,0,0,0,3,1,2,2,3,0,2,0,2,2.772588722
1336,2018,dakar,8,2,0,3,0,0,0,0,0,1,0,1,3,3,0,2,0,3,2.564949357
1337,2018,dakar,5,3,5,5,0,1,2,0,3,1,0,1,2,3,3,1,0,1,2.890371758
13371,2018,thies,5,4,9,7,1,1,4,1,3,2,1,0,4,2,3,3,0,0,3.218875825
133710,2018,thies,1,2,2,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,1.609437912
133711,2018,thies,3,2,5,1,2,0,1,2,2,0,0,1,1,1,0,0,0,1,2.397895273
133712,2018,thies,3,3,4,1,1,0,1,1,2,1,0,1,0,0,1,2,0,1,2.397895273
13372,2018,thies,3,4,3,4,0,1,2,1,1,2,0,0,4,2,0,0,0,1,2.63905733
13373,2018,thies,3,3,0,4,0,0,0,3,0,0,1,0,2,1,0,1,1,1,2.302585093
13374,2018,thies,1,1,2,1,0,0,0,0,2,0,0,1,0,0,0,1,1,0,1.609437912
13375,2018,thies,4,0,4,2,0,0,0,0,2,0,2,0,1,2,0,2,1,0,2.302585093
13376,2018,thies,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1.098612289
13377,2018,thies,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13378,2018,thies,1,1,2,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1.609437912
13379,2018,thies,3,1,1,1,0,0,0,0,0,0,1,1,0,2,0,1,1,0,1.791759469
1338,2018,dakar,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.6931471806
1339,2018,dakar,4,3,2,2,0,0,0,2,2,0,1,1,0,1,1,2,0,1,2.397895273
13391,2018,thies,3,2,5,2,2,0,2,2,0,0,1,0,0,2,2,0,0,1,2.48490665
133910,2018,thies,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.6931471806
